x,y,z
185,329,a
187,313,a
188,299,a
190,280,a
190,277,a
190,274,a
190,271,a
190,270,a
190,269,a
190,268,a
190,268,a
190,268,a
148,291,a
150,292,a
154,292,a
163,290,a
176,290,a
211,290,a
226,288,a
226,289,a
281,327,a
281,325,a
281,324,a
282,318,a
285,309,a
286,302,a
286,295,a
284,288,a
284,287,a
284,288,a
262,294,a
271,294,a
285,295,a
303,301,a
318,301,a
324,302,a
328,303,a
333,304,a
340,307,a
350,308,a
350,309,a
393,341,a
391,331,a
391,325,a
392,320,a
392,316,a
392,298,a
393,263,a
394,252,a
394,245,a
395,243,a
395,242,a
381,278,a
386,278,a
403,277,a
412,277,a
423,278,a
428,278,a
265,229,a
264,221,a
259,202,a
259,200,a
259,185,a
256,172,a
256,169,a
256,170,a
255,173,a
254,174,a
253,187,a
285,191,a
286,192,a
289,193,a
291,195,a
292,195,a
292,196,a
149,208,a
149,200,a
149,179,a
147,140,a
143,136,a
142,138,a
142,139,a
142,141,a
142,143,a
129,178,a
158,181,a
178,180,a
185,180,a
192,178,a
192,195,a
190,186,a
190,185,a
190,184,a
191,181,a
191,181,a
191,178,a
191,174,a
191,171,a
191,169,a
191,164,a
190,163,a
190,163,a
190,165,a
190,166,a
186,182,a
191,182,a
192,182,a
195,181,a
195,180,a
196,179,a
197,179,a
197,180,a
198,181,a
201,182,a
201,183,a
201,183,a
202,183,a
203,183,a
201,196,a
200,191,a
200,189,a
200,185,a
198,182,a
197,174,a
197,173,a
197,172,a
197,172,a
196,184,a
199,183,a
200,182,a
204,180,a
205,180,a
207,180,a
208,180,a
209,180,a
211,180,a
218,179,a
222,179,a
224,179,a
225,179,a
224,194,a
223,193,a
223,191,a
223,190,a
222,188,a
222,185,a
222,177,a
222,172,a
222,170,a
220,167,a
220,166,a
219,166,a
208,183,a
213,183,a
217,180,a
219,178,a
224,178,a
227,178,a
228,177,a
230,177,a
231,177,a
232,177,a
